post_id,human_is_exercise,human_time,human_calories,duration_estimation,calorie_estimation,openai_is_exercise,openai_exercise_time,openai_exercise_calories,aoai_is_exercise,aoai_exercise_time,aoai_exercise_calories,bedrock_is_exercise,bedrock_exercise_time,bedrock_exercise_calories
1372179720067713,TRUE,51,487,,,TRUE,51,487,TRUE,51,487,TRUE,66,587
1372233796728972,TRUE,108,524,,,TRUE,108,524,TRUE,108,524,TRUE,108,524
1372268920058793,TRUE,126,387,,,TRUE,126,387,TRUE,126,387,TRUE,126,387
1372269493392069,TRUE,41,156,TRUE,,TRUE,30,156,TRUE,30,156,TRUE,45,156
1372280496724302,TRUE,166,699,,,TRUE,15,100,TRUE,166,699,TRUE,166,699
1372288653390153,FALSE,,,,,TRUE,30,200,FALSE,0,0,FALSE,0,0
1372345223384496,TRUE,74,297,TRUE,TRUE,TRUE,30,200,TRUE,60,400,TRUE,120,350
1372591923359826,TRUE,42,256,,TRUE,TRUE,42,300,TRUE,42,350,TRUE,42,320
1372713066681045,TRUE,146,704,,,TRUE,146,1948,TRUE,146,704,TRUE,146,1948
1372721740013511,TRUE,120,1121,,,TRUE,120,1121,TRUE,120,1121,TRUE,120,190
1372775886674763,TRUE,61,288,,,TRUE,180,288,TRUE,180,288,TRUE,240,288
1372792216673130,TRUE,127,393,,,TRUE,127,393,TRUE,127,393,TRUE,127,393
1372839060001779,TRUE,82,327,TRUE,,TRUE,60,327,TRUE,60,327,TRUE,85,327
1373024413316577,TRUE,105,466,TRUE,,TRUE,60,466,TRUE,60,466,TRUE,90,466
1373133206639031,TRUE,42,258,,TRUE,TRUE,42,300,TRUE,42,350,TRUE,42,450
1373275273291491,TRUE,133,629,,,TRUE,133,1934,TRUE,133,629,TRUE,133,1934
1373320143287004,TRUE,115,560,,,TRUE,115,560,TRUE,115,560,TRUE,115,560
1373324593286559,TRUE,71,448,,,TRUE,71,448,TRUE,71,448,TRUE,71,448
1373344476617904,TRUE,138,537,,,TRUE,138,537,TRUE,138,537,TRUE,138,537
1373358993283119,TRUE,138,537,,,TRUE,123,431,TRUE,123,431,TRUE,123,431
1373381583280860,TRUE,226,989,TRUE,TRUE,TRUE,120,534,TRUE,120,989,TRUE,120,534
1373530613265957,TRUE,105,504,TRUE,TRUE,TRUE,45,300,TRUE,60,400,TRUE,120,450
1373677803251238,TRUE,42,,,TRUE,TRUE,42,450,TRUE,42,600,TRUE,42,450
1373797149905970,TRUE,184,805,,,TRUE,184,805,TRUE,90,805,TRUE,184,1938
1373868783232140,TRUE,114,541,,,TRUE,114,541,TRUE,114,541,TRUE,114,541
1373877943231224,TRUE,105,506,,,TRUE,105,506,TRUE,105,506,TRUE,105,506
1373883286564023,FALSE,,,,,TRUE,30,300,TRUE,30,300,TRUE,60,240
1373885133230505,TRUE,150,1698,,TRUE,TRUE,150,222,TRUE,150,190,TRUE,150,600
1373892129896472,TRUE,110,363,,,TRUE,110,363,TRUE,110,363,TRUE,110,363
1374066739879011,TRUE,40,572,,,TRUE,40,572,TRUE,40,572,TRUE,90,572
1374168829868802,TRUE,60,,,TRUE,TRUE,60,200,TRUE,60,250,TRUE,60,150
1374177643201254,TRUE,,,TRUE,TRUE,TRUE,450,2100,TRUE,200,1800,TRUE,180,2150
1374338916518460,FALSE,,,,,TRUE,30,200,TRUE,30,200,FALSE,0,0
1374364393182579,TRUE,36,518,,,TRUE,36,518,TRUE,36,518,TRUE,36,518
1374402569845428,TRUE,,,TRUE,TRUE,TRUE,43,364,TRUE,44,364,TRUE,73,394
1374423919843293,TRUE,266,962,,,TRUE,196,742,TRUE,266,742,TRUE,266,962
1374450336507318,TRUE,,,TRUE,TRUE,TRUE,120,600,TRUE,120,600,TRUE,100,350
1374858806466471,TRUE,217,1369,,,TRUE,217,1369,TRUE,216,1369,TRUE,217,1369
1374950123124006,TRUE,,,TRUE,TRUE,TRUE,60,318,TRUE,60,318,TRUE,180,620
1374975683121450,TRUE,60,,,TRUE,TRUE,60,300,TRUE,60,250,TRUE,60,121
1374984369787248,TRUE,,,,,TRUE,60,523,TRUE,60,523,TRUE,120,823
1375006723118346,FALSE,,,,,FALSE,0,0,FALSE,0,0,FALSE,0,0
1375011039784581,TRUE,141,522,,,TRUE,141,522,TRUE,141,522,TRUE,141,522
1375309683088050,TRUE,42,,,TRUE,TRUE,42,350,TRUE,42,350,TRUE,42,385
1375462543072764,TRUE,152,,,,TRUE,152,751,TRUE,90,751,TRUE,152,751
1375493113069707,TRUE,93,704,,,TRUE,93,704,TRUE,93,704,TRUE,93,704
1375497526402599,TRUE,129,530,TRUE,TRUE,TRUE,69,530,TRUE,129,530,TRUE,129,530
1375508836401468,TRUE,,,TRUE,TRUE,TRUE,30,250,TRUE,30,250,TRUE,70,210
1375523796399972,TRUE,91,275,,,TRUE,91,275,TRUE,91,275,TRUE,91,275
1375530566399295,TRUE,105,404,,,TRUE,105,404,TRUE,60,404,TRUE,60,404
1375815603037458,TRUE,,,TRUE,TRUE,TRUE,150,389,TRUE,120,389,TRUE,98,389
1375975729688112,TRUE,30,,,TRUE,TRUE,30,300,TRUE,30,300,TRUE,30,450
1376036649682020,TRUE,,127,TRUE,,TRUE,60,127,TRUE,60,127,TRUE,90,327
1376038743015144,TRUE,133,419,,,TRUE,133,419,TRUE,133,419,TRUE,133,419
1376040443014974,TRUE,,530,TRUE,,TRUE,120,530,TRUE,90,530,TRUE,150,260
1376045373014481,TRUE,,,TRUE,,TRUE,60,406,TRUE,60,406,TRUE,120,706
1376050496347302,TRUE,47,640,,,TRUE,47,640,TRUE,47,640,TRUE,47,640
1376353386317013,TRUE,0,0,,,TRUE,30,250,TRUE,30,250,TRUE,30,150
1376369136315438,TRUE,42,,,TRUE,TRUE,42,400,TRUE,42,500,TRUE,42,450
1376507752968243,TRUE,112,2067,,,TRUE,112,2067,TRUE,112,2067,TRUE,112,2067
1376558696296482,TRUE,113,382,,,TRUE,113,382,TRUE,113,382,TRUE,113,382
1376565949629090,TRUE,,,TRUE,TRUE,TRUE,60,300,TRUE,60,250,TRUE,90,350
1376626852956333,TRUE,,,TRUE,TRUE,TRUE,180,186,TRUE,180,186,TRUE,180,800
1376679089617776,TRUE,60,579,,,TRUE,60,579,TRUE,60,579,TRUE,60,579
1376991179586567,TRUE,124,539,,,TRUE,90,539,TRUE,90,1621,TRUE,124,539
1377118286240523,FALSE,,,,,TRUE,60,400,TRUE,60,300,TRUE,60,400
1377132769572408,TRUE,,164,TRUE,,FALSE,0,0,TRUE,30,150,TRUE,45,164
1377144039571281,TRUE,122,445,,,TRUE,122,445,TRUE,122,445,FALSE,122,445
1377149956237356,TRUE,89,530,,,TRUE,89,530,TRUE,89,530,TRUE,89,530
1377557569529928,TRUE,165,722,,,TRUE,165,1805,TRUE,165,1805,TRUE,165,722
1377651182853900,TRUE,180,,,TRUE,TRUE,180,109,TRUE,180,109,TRUE,180,500
1377688519516833,TRUE,,716,TRUE,,TRUE,127,716,TRUE,66,716,TRUE,127,716
1377938409491844,FALSE,,,,,TRUE,30,300,TRUE,30,300,FALSE,0,0
1378196692799349,TRUE,121,490,,,TRUE,121,1842,TRUE,121,1842,TRUE,121,1842
1378231082795910,TRUE,,,TRUE,TRUE,TRUE,90,560,TRUE,90,660,TRUE,160,710
1378260349459650,TRUE,105,559,,,TRUE,105,559,TRUE,105,559,TRUE,105,559
1378261542792864,TRUE,104,354,,,TRUE,104,354,TRUE,104,354,TRUE,104,354
1378515502767468,FALSE,0,0,,,FALSE,0,0,FALSE,0,0,FALSE,0,0
1378721369413548,TRUE,,,TRUE,TRUE,TRUE,156,628,TRUE,200,1041,TRUE,271,1041
1378759189409766,TRUE,56,551,,,TRUE,56,551,TRUE,56,325,TRUE,56,551
1378785399407145,TRUE,103,656,,,TRUE,103,656,TRUE,103,656,TRUE,120,656
1378790779406607,TRUE,,515,TRUE,,TRUE,60,515,TRUE,60,515,TRUE,120,515
1378795369406148,TRUE,142,688,,,TRUE,142,688,TRUE,142,688,TRUE,142,688
1378822682736750,TRUE,,249,TRUE,,TRUE,60,249,TRUE,60,249,TRUE,60,249
1379141042704914,TRUE,42,,,TRUE,TRUE,42,400,TRUE,42,350,TRUE,42,450
1379241696028182,TRUE,387,1478,,,TRUE,356,1372,TRUE,356,1372,TRUE,387,1478
1379298556022496,TRUE,133,694,,,TRUE,133,694,TRUE,133,694,TRUE,133,694
1379317902687228,TRUE,,480,TRUE,,TRUE,52,480,TRUE,53,480,TRUE,72,480
1379325042686514,TRUE,103,567,,,TRUE,103,567,TRUE,103,567,TRUE,103,567
1379364596015892,TRUE,180,,,TRUE,TRUE,180,185,TRUE,180,185,TRUE,180,800
1379367669348918,TRUE,,373,,,TRUE,60,373,TRUE,60,373,TRUE,120,373
1379378336014518,TRUE,,233,TRUE,,TRUE,60,233,TRUE,40,233,TRUE,60,233
1379621585990193,TRUE,,624,TRUE,,TRUE,120,624,TRUE,120,624,TRUE,120,624
1379688672650151,TRUE,42,,,TRUE,TRUE,42,650,TRUE,42,600,TRUE,42,520
1379821399303545,TRUE,17,320,,,TRUE,17,320,TRUE,17,320,TRUE,17,320
1379872629298422,TRUE,,621,TRUE,,TRUE,83,621,TRUE,83,621,TRUE,123,621
1379899435962408,TRUE,240,,,TRUE,TRUE,240,136,TRUE,240,1138,TRUE,240,1138
1379914242627594,TRUE,126,635,,,FALSE,0,0,TRUE,126,635,FALSE,126,635
1379927952626223,TRUE,,,TRUE,TRUE,TRUE,60,600,TRUE,60,500,TRUE,120,750
1379935749292110,TRUE,105,337,,,TRUE,105,337,TRUE,105,337,TRUE,105,337
1380007655951586,TRUE,,361,TRUE,,TRUE,60,361,TRUE,60,361,TRUE,90,361
1380174692601549,TRUE,,525,TRUE,,TRUE,120,525,TRUE,120,525,TRUE,120,525
1380239985928353,TRUE,42,,,TRUE,TRUE,42,300,TRUE,42,350,TRUE,42,380
1380281915924160,TRUE,79,508,,,TRUE,79,418,TRUE,79,418,TRUE,35,808
1380390049246680,TRUE,142,780,,,TRUE,142,780,TRUE,142,1952,TRUE,142,1952
1380414462577572,FALSE,0,0,,,FALSE,0,0,FALSE,0,0,FALSE,0,0
1380424059243279,TRUE,111,728,,,TRUE,111,728,TRUE,111,728,TRUE,111,728
1380432885909063,TRUE,51,165,,,TRUE,51,165,TRUE,51,165,TRUE,51,165
1380433832575635,TRUE,,,TRUE,TRUE,TRUE,41,187,TRUE,41,166,TRUE,60,187
1380438985908453,TRUE,,,TRUE,,TRUE,60,381,TRUE,60,381,TRUE,95,381
1380619942557024,TRUE,,,TRUE,TRUE,TRUE,60,400,TRUE,30,400,TRUE,90,650
1380934872525531,TRUE,,398,TRUE,,TRUE,30,398,TRUE,30,398,TRUE,85,398
1380935375858814,TRUE,84,269,,,TRUE,84,269,TRUE,84,269,TRUE,84,269
1380948079190877,TRUE,108,523,,,TRUE,108,523,TRUE,108,523,TRUE,108,523
1380950462523972,TRUE,151,748,,,TRUE,151,2138,TRUE,151,2138,TRUE,151,2138
1381066795845672,TRUE,41,241,,,TRUE,41,241,TRUE,41,241,TRUE,41,241
1381194355832916,TRUE,,,TRUE,TRUE,TRUE,100,400,TRUE,100,400,TRUE,100,350
1381309355821416,TRUE,42,,,TRUE,TRUE,42,350,TRUE,42,450,TRUE,42,450
1381353659150319,TRUE,120,644,,,TRUE,120,644,TRUE,120,644,TRUE,120,644
1381373859148299,FALSE,,,,,TRUE,30,150,TRUE,30,150,TRUE,30,150
1381480679137617,TRUE,,252,,TRUE,TRUE,60,300,TRUE,30,300,TRUE,75,402
1381504009135284,TRUE,113,506,,,TRUE,31,506,TRUE,31,506,TRUE,113,506
1381992719086413,TRUE,58,497,,,TRUE,58,497,TRUE,58,497,TRUE,74,497
1381996462419372,TRUE,135,680,,,TRUE,90,680,TRUE,90,680,TRUE,135,2025
1382043129081372,TRUE,129,621,,,TRUE,129,621,TRUE,129,621,TRUE,129,621
1382078485744503,TRUE,,225,TRUE,,TRUE,45,225,TRUE,50,225,TRUE,60,225
1382241512394867,TRUE,,,TRUE,TRUE,TRUE,30,200,TRUE,30,300,TRUE,45,350
1382563072362711,TRUE,,383,TRUE,,TRUE,60,383,TRUE,90,383,TRUE,90,383
1382600092359009,TRUE,131,588,,,TRUE,131,588,TRUE,131,588,TRUE,131,2044
1382601835692168,TRUE,,361,TRUE,,TRUE,60,361,TRUE,60,361,TRUE,98,361
1382601869025498,TRUE,,470,TRUE,,TRUE,60,470,TRUE,60,470,TRUE,120,470
1382604199025265,TRUE,,505,TRUE,,TRUE,120,505,TRUE,90,505,TRUE,120,505
1382654649020220,TRUE,,381,TRUE,,TRUE,90,400,TRUE,120,500,TRUE,105,489
1382838815668470,FALSE,,,,,TRUE,90,300,TRUE,90,300,TRUE,30,150
1382962258989459,TRUE,42,,,TRUE,TRUE,42,400,TRUE,42,400,TRUE,42,450
1383076698978015,TRUE,138,592,,,TRUE,138,592,TRUE,138,801,TRUE,138,1801
1383091995643152,TRUE,90,336,,,TRUE,90,336,TRUE,90,336,TRUE,90,336
1383153528970332,TRUE,,244,TRUE,,TRUE,45,244,TRUE,30,244,TRUE,60,344
1383191108966574,TRUE,74,512,,,TRUE,74,512,TRUE,74,512,TRUE,74,512
1383200268965658,TRUE,,265,TRUE,,TRUE,60,265,TRUE,60,265,TRUE,70,265
1383408035611548,TRUE,,,TRUE,TRUE,TRUE,60,600,TRUE,60,600,TRUE,120,850
1383522845600067,TRUE,42,,,TRUE,TRUE,42,600,TRUE,42,520,TRUE,42,450
1383682412250777,TRUE,,,TRUE,TRUE,TRUE,15,150,TRUE,15,120,TRUE,60,350
1383696068916078,TRUE,,365,TRUE,,TRUE,60,365,TRUE,60,365,TRUE,85,365
1383716078914077,TRUE,98,578,,,TRUE,98,578,TRUE,98,578,TRUE,98,578
1383735088912176,TRUE,131,556,,,TRUE,131,2037,TRUE,131,556,TRUE,131,2037
1383740845578267,TRUE,,598,TRUE,,TRUE,60,598,TRUE,60,598,TRUE,95,598
1383758468909838,TRUE,,256,TRUE,,TRUE,60,256,TRUE,60,256,TRUE,66,256
1384079195544432,TRUE,42,,,TRUE,TRUE,42,350,TRUE,42,350,TRUE,42,450
1384085395543812,TRUE,51,874,,,TRUE,51,874,TRUE,51,874,TRUE,51,874
1384165438869141,TRUE,169,722,,,TRUE,169,1790,TRUE,169,1790,TRUE,169,1790
1384276845524667,TRUE,,326,TRUE,,TRUE,30,326,TRUE,30,326,TRUE,103,326
1384287198856965,TRUE,,353,TRUE,,TRUE,60,353,TRUE,60,353,TRUE,84,353
1384301532188865,TRUE,240,,,TRUE,TRUE,240,1313,TRUE,240,1313,TRUE,240,1313
1384305398855145,TRUE,,468,TRUE,,TRUE,30,468,TRUE,30,468,TRUE,104,468
1384359585516393,TRUE,105,350,,,TRUE,105,350,TRUE,105,350,TRUE,105,350
1384513692167649,TRUE,60,,,TRUE,TRUE,60,500,TRUE,60,500,TRUE,120,750
1384535112165507,TRUE,40,535,,,TRUE,40,535,TRUE,40,535,TRUE,40,535
1384634825488869,TRUE,42,,,TRUE,TRUE,42,300,TRUE,42,350,TRUE,42,450
1384807565471595,TRUE,93,628,,,TRUE,93,628,TRUE,93,628,TRUE,93,628
1384825658803119,TRUE,,523,TRUE,,TRUE,61,523,TRUE,63,523,TRUE,83,523
1384828668802818,TRUE,115,369,,,TRUE,115,369,TRUE,115,369,TRUE,115,369
1384834192135599,TRUE,,284,TRUE,,TRUE,60,284,TRUE,60,284,TRUE,75,284
1384863262132692,TRUE,60,,,TRUE,TRUE,60,600,TRUE,70,600,TRUE,120,750
1384882205464131,TRUE,,546,TRUE,,TRUE,28,243,TRUE,28,243,TRUE,28,243
1385211418764543,TRUE,,,TRUE,TRUE,TRUE,30,200,TRUE,30,200,TRUE,45,180
1385218682097150,TRUE,42,,,TRUE,TRUE,42,350,TRUE,42,400,TRUE,42,450
1385378715414480,TRUE,117,577,,,TRUE,117,1982,TRUE,117,1982,TRUE,117,1982
1385393855412966,TRUE,,198,TRUE,,TRUE,30,198,TRUE,45,198,TRUE,65,248
